"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Muscle|Intracellular|Aciclovir|Concentration [µmol/l]"
0,549,2.431706,2.027035
0,552,2.407528,2.006437
0,555,2.383596,1.986054
0,558,2.359907,1.965883
0,561,2.336459,1.945921
0,564,2.313251,1.926167
0,567,2.290278,1.906618
0,570,2.267539,1.887273
0,573,2.245032,1.868128
0,576,2.222753,1.849183
0,579,2.200701,1.830435
0,582,2.178874,1.811881
0,585,2.157269,1.79352
0,588,2.135882,1.775349
0,591,2.114713,1.757367
0,594,2.093759,1.739571
0,597,2.073017,1.721959
0,600,2.052486,1.704531
0,603,2.032164,1.687283
0,606,2.012047,1.670213
0,609,1.992135,1.653321
0,612,1.972425,1.636604
0,615,1.952915,1.620059
0,618,1.933602,1.603686
0,621,1.914485,1.587482
0,624,1.895561,1.571446
0,627,1.876829,1.555576
0,630,1.858287,1.539869
0,633,1.839933,1.524326
0,636,1.821764,1.508943
0,639,1.803779,1.493719
0,642,1.785977,1.478652
0,645,1.768354,1.463741
0,648,1.750909,1.448983
0,651,1.73364,1.434378
0,654,1.716546,1.419923
0,657,1.699624,1.405618
0,660,1.682873,1.39146
0,663,1.666291,1.377448
0,666,1.649877,1.36358
0,669,1.633628,1.349856
0,672,1.617543,1.336273
0,675,1.601621,1.32283
0,678,1.58586,1.309525
0,681,1.570257,1.296358
0,684,1.554812,1.283327
0,687,1.539523,1.27043
0,690,1.524387,1.257665
0,693,1.509403,1.245031
0,696,1.49457,1.232526
0,699,1.479887,1.220151
0,702,1.465351,1.207902
0,705,1.450961,1.19578
0,708,1.436716,1.183782
0,711,1.422615,1.171907
0,714,1.408655,1.160155
0,717,1.394836,1.148523
0,720,1.381156,1.137011
0,723,1.367613,1.125617
0,726,1.354207,1.114341
0,729,1.340936,1.10318
0,732,1.327799,1.092134
0,735,1.314792,1.081201
0,738,1.301916,1.07038
0,741,1.289169,1.059669
0,744,1.27655,1.049069
0,747,1.264058,1.038577
0,750,1.251691,1.028192
0,753,1.239447,1.017914
0,756,1.227327,1.007742
0,759,1.215329,0.9976734
0,762,1.20345,0.9877081
0,765,1.191691,0.977845
0,768,1.18005,0.9680827
0,771,1.168525,0.9584206
0,774,1.157116,0.9488573
0,777,1.145821,0.939392
0,780,1.134639,0.9300233
0,783,1.123568,0.9207503
0,786,1.112609,0.911572
0,789,1.101759,0.9024877
0,792,1.091018,0.8934961
0,795,1.080384,0.8845963
0,798,1.069856,0.8757875
0,801,1.059434,0.8670685
0,804,1.049115,0.8584386
0,807,1.0389,0.8498966
0,810,1.028786,0.8414418
0,813,1.018774,0.8330731
0,816,1.008861,0.8247896
0,819,0.999047,0.8165906
0,822,0.9893308,0.808475
0,825,0.9797117,0.8004422
0,828,0.9701887,0.7924915
0,831,0.9607606,0.7846217
0,834,0.9514264,0.776832
0,837,0.9421851,0.7691215
0,840,0.9330359,0.7614895
0,843,0.9239777,0.7539352
0,846,0.9150096,0.7464575
0,849,0.9061307,0.7390559
0,852,0.8973401,0.7317294
0,855,0.8886368,0.7244774
0,858,0.88002,0.7172989
0,861,0.8714887,0.7101933
0,864,0.8630421,0.7031597
0,867,0.8546792,0.6961973
0,870,0.8463995,0.6893058
0,873,0.8382023,0.6824843
0,876,0.8300864,0.6757321
0,879,0.8220509,0.6690482
0,882,0.8140952,0.6624321
0,885,0.8062184,0.655883
0,888,0.7984197,0.6494003
0,891,0.7906982,0.6429832
0,894,0.7830532,0.6366311
0,897,0.7754839,0.6303432
0,900,0.7679896,0.624119
0,903,0.7605695,0.6179577
0,906,0.7532228,0.6118588
0,909,0.7459487,0.6058215
0,912,0.7387466,0.5998452
0,915,0.7316158,0.5939294
0,918,0.7245556,0.5880733
0,921,0.7175651,0.5822764
0,924,0.7106438,0.5765381
0,927,0.7037908,0.5708578
0,930,0.6970056,0.5652347
0,933,0.6902874,0.5596685
0,936,0.6836355,0.5541584
0,939,0.6770493,0.548704
0,942,0.6705281,0.5433045
0,945,0.6640713,0.5379595
0,948,0.6576781,0.5326684
0,951,0.6513481,0.5274307
0,954,0.6450804,0.5222457
0,957,0.6388747,0.517113
0,960,0.63273,0.512032
0,963,0.6266459,0.5070022
0,966,0.6206218,0.502023
0,969,0.614657,0.497094
0,972,0.608751,0.4922146
